"product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country"
"Chong Cao Bu Jing Wan 1g (虫草生精丸),Pill,Black,Round,No,Sildenafil;Tadalafil,Shanghai Shuang Long Sheng Wu Bao Jian Gong Si (上海双龙生物有限公司),China"
"Champ,Capsule,White,Oblong,No,Lignocaine,Nil,Nil"
"Chong Cao Lu Bian Wan 9g (蟲草鹿鞭丸),Pill,Black,Round,No,Sildenafil,Xiang Gang Jin Long Sheng Wu You Xian Gong Si (香港金龙生物有限公司),Hong Kong"
"Canada King of Sea Dogs 800 mg Capsule (加拿大海狗王),Capsule,Green,Oblong,No,Sibutramine;Sildenafil,Nil,Nil"
"Cattle Capsule (牛寳膠囊),Capsule,Blue;White,Oblong,Yes,Sildenafil,Anhui Santi Medical and Pharmaceutical  Products  Company (安徽三體醫藥保健品公司),China"
"Jin Sheng Li Brand China Vigers 2500mg Capsule (金聖力牌中華偉哥),Capsule,Green,Oblong,Yes,Sildenafil,Nil,Nil"
"De Guo Jin Gang Pen (德国金刚喷),Liquid (External Use),Brown,Nil,No,Lignocaine,Xi Zang Mei Long Bao Jian Pin You Xian Gong Si (西藏美龙保健品有限公司),China"
"Tian Long Brand Da Di Yong Shi Sheng Jing Pian 2000mg (天龙牌大地勇士生精片),Nil,Brown,Teardrop,Yes,Sildenafil,Hong Kong Tianlong Organisms Technology (International) Group Company (香港天龙生物科技(国际)集团公司),Hong Kong"
"Li Long Brand De Guo Hei Jin Gang 2800mg Tablet (力龙牌德国黑金刚),Nil,Black,Teardrop,Yes,Sildenafil,Tibet La Sa Shi Li Long Sheng Wu Ji Shu You Xian Gong Si (西藏拉萨市力龙生物制品公司),China"
"Dong Fang Bu Bai 800mg Tablet (东方不败强神粒),Nil,Brown,Diamond,Yes,Sildenafil,La Sa Shi Li Da Bao Jian Pin You Xian Gong Si (拉萨市力达保健品有限公司),China"
"Shen Long Sheng Wu Brand Ding Chuan Tian 1200mg Capsule (神龙生物牌顶穿天),Capsule,Gold,Oblong,Yes,Sildenafil,Taiwan Shen Long Sheng Wu Bao Jian Pin Kai Fa You Xian Gong Si (台湾神龙生物保健品开发有限公司),Taiwan Province of China"
"French Silver Fox 2800mg Powder (法国银狐),Powder (Internal Use),White,Nil,No,Lignocaine,Shenzhen long fresh hall biology health care limited company (深圳久生堂生物保健有限公司),China"
"Li Long Brand Xin Yi Dai Hei Ma Yi Wang 2800mg Capsule (力龙牌新一代黑螞蟻王2800mg),Capsule,Red;White,Oblong,Yes,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China"
"Jian Min Bao Jian Brand HuaTuo 2000mg Capsule (健民保健牌华佗神丹),Capsule,Red,Oblong,No,Sildenafil;Tadalafil,Tibet Jianmin HealthCare Product Co. Ltd (西藏健民保健品有限公司),China"
"Huang Wei Lu Rong 0.5g Capsule (皇威鹿茸胶囊),Capsule,Red,Oblong,No,Glibenclamide;Sibutramine;Sildenafil;Tadalafil,Qin Huang Dao Huang Wei Zhi Yao Chang (秦皇岛皇威制药厂),China"
"Red Spider 5ml (红蜘蛛女性口服液),Liquid (Internal Use),Transparent,Nil,No,Sildenafil;Vardenafil,Tibet Jin Kang Sheng Wu Gong Cheng Gong Si (西藏金康生物工程公司),China"
"Li Long Brand Hao Gong Fu 2500mg Tablet (力龙牌好功夫),Nil,Beige,Teardrop,Yes,Sildenafil,Hai Kou Hong Da Yi Yao Bao Jian Pin Gong Si (海口宏大医药保健品公司),China"
"Sheng Yang Brand Huang Di Sheng Dan 3g pill (升阳牌黄帝聖丹),Pill,Black,Round,No,Sildenafil,Xi Zang Sheng Yang Bao Jian Pin You Xian Gong Si (西藏升阳保健品有限公司),China"
"High-Powered Spray (威の猛男用延时喷剂),Spray,Nil,Nil,No,Lignocaine,Tian Jin Shi Ji Yuan Bao Jian Yong Pin Chang (天津市纪元保健用品厂),Nil"
"India God Lotion Spray （印度神油）,Spray,Nil,Nil,No,Procaine,Nil,Nil"
"JianBu HuQian Wan Capsule (健步虎潛丸),Capsule,Red;White,Oblong,Yes,Chlorpheniramine;Dexamethasone;Frusemide;Pheniramine,Wan Shou Tang Medical Co. Ltd Beijing (北京万寿堂制药厂),Nil"
